dv,estimate,SE,df,t_value,p_value,mean_step,sd_step,mean_nonstep,sd_nonstep,n_step,n_nonstep,converged,family,p_fdr,sig
COP_Y_peak_velocity,0.728928751855833,0.133954500937369,106.590614576184,5.44161447920771,3.39643200875197e-07,1.70101275424666,0.942960051824615,1.16384704513732,1.03963993843646,52,73,True,운동역학,1.0431898312595335e-06,***
COP_Y_mean_velocity,0.151048576588646,0.0191981670894253,105.848299861291,7.86786446253225,3.26959838336345e-12,0.334020898747958,0.161985896871056,0.211017157858363,0.142863681494093,52,73,True,운동역학,3.171823701717931e-11,***
MOS_minDist_signed_min,-0.0145038001746861,0.0026123267280835,105.457900060092,-5.55206208272674,2.12408807744472e-07,0.0336782308553466,0.0284910220936477,0.0488022066401765,0.0120557431397603,52,73,True,운동역학,7.025829794624844e-07,***
MOS_AP_v3d_min,-0.0140244251437209,0.0026454347707554,105.820333246939,-5.30136871971173,6.32904224873358e-07,0.0385024439494188,0.0284573930600363,0.0530751287626219,0.0126290523139102,52,73,True,운동역학,1.8143254446369594e-06,***
MOS_ML_v3d_min,-0.0054324454588773,0.0022435711270105,106.079541936639,-2.4213386388671,0.0171605118290456,0.131200200160644,0.0172432802679103,0.13568517933499,0.0153347053710063,52,73,True,운동역학,0.03354100039313458,*
xCOM_BOS_platformonset,-0.0518543573533146,0.0079724523595679,104.536060157799,-6.50419156046541,2.7430231648698703e-09,0.632880005626249,0.0683214527841538,0.700391384938507,0.0721539561449187,52,73,True,운동역학,1.0722726917218583e-08,***
xCOM_BOS_steponset,-0.128315241979344,0.0177215672645555,104.050042227963,-7.24062607238944,7.993154728470949e-11,0.284014513611347,0.208671814355977,0.400162775292829,0.116302245732813,52,73,True,운동역학,4.910080761775011e-10,***
Hip_stance_ROM,1.15733856338221,0.341857689615855,100.640759412538,3.38543960992279,0.0010144810137097,8.37775841928351,3.65184315327301,8.31932245489686,3.90064915608819,52,72,True,운동학,0.004508804505376445,**
Hip_stance_peak,1.25587663477118,0.331967518283753,100.695073138386,3.78313107638954,0.0002630706273838,8.23402347508422,3.67456674164026,7.85270077207966,3.05016745572022,52,72,True,운동학,0.0017538041825586666,**
Knee_stance_ROM,0.613359027455959,0.373634950854645,99.9833686105495,1.64159971130371,0.103814932078013,9.85266191296453,6.36408626222362,11.3982936235668,5.35230451097012,52,72,True,운동학,0.17108969521148,
Knee_stance_peak,0.531771581922709,0.367202619967188,99.967572228974,1.44816935666261,0.150698882123693,8.99407590280243,5.9370621118479,10.5308980545485,5.08046774304601,52,72,True,운동학,0.20093184283159068,
Ankle_stance_ROM,0.18037869874624,0.508933919488633,100.377715882401,0.354424595883648,0.723764195205873,9.8481481702401,5.12300022928862,9.67607530669277,5.07051542290246,52,72,True,운동학,0.723764195205873,
Ankle_stance_peak,0.202331587799207,0.480015239224472,100.480990077119,0.421510758962778,0.674282516094629,8.14245252582024,4.56173897602446,7.54045569652577,4.57732553554826,52,72,True,운동학,0.6915718113791066,
Trunk_ROM,0.747227139800384,0.513098627454844,102.275339438838,1.45630313514363,0.14837192489832,5.2948869883285,5.34983492178244,4.27318978480854,4.23650945926987,52,72,True,운동학,0.20093184283159068,
Trunk_peak,0.545926983839407,0.504531044773696,102.321742791833,1.08204834864875,0.281774527034198,4.65686881987769,5.36316847206662,3.7877293960182,4.20273207804501,52,72,True,운동학,0.3522181587927474,
Neck_ROM,2.60519495051067,1.05211056047068,102.845591210809,2.4761608222478,0.0149121688233376,10.0777000642314,11.0580600031281,10.101857392392,8.97654665315517,52,72,True,운동학,0.035087456054912,*
Neck_peak,2.56995512950404,1.05499227196556,102.907804402344,2.43599427009637,0.0165691032897542,9.83676939986574,11.0779862186442,9.91716904388434,8.96959760150248,52,72,True,운동학,0.036820229532787116,*
Hip_stance_ref_X_deg_s_peak,4.33035933716226,2.85225008223049,100.37476102819,1.51822568579817,0.132101002884895,56.9512236889895,34.5773568281998,61.7826123110194,30.7152993816793,52,72,True,운동학,0.1887157184069929,
Hip_stance_ref_Y_deg_s_peak,5.01414039181308,1.10580152228972,102.913480533029,4.53439454616647,1.56588749868917e-05,16.2059145088539,8.27161552670792,12.2268674677357,7.71087150084657,52,72,True,운동학,0.0001252709998951336,***
Hip_stance_ref_Z_deg_s_peak,15.0640947544982,4.1372564129082,112.631265324025,3.64108318437755,0.0004116574863367,42.2062544160994,29.4661042251018,29.4749632887295,19.4453713668708,52,72,True,운동학,0.0021092475694334998,**
Hip_stance_mov_X_deg_s_peak,4.60079385170078,2.90774173711128,100.465828044101,1.5822567021621,0.116734116135899,57.0913245584894,34.2463967427253,61.6755542975056,30.5355868909247,52,72,True,운동학,0.17293943131244294,
Hip_stance_mov_Y_deg_s_peak,4.19482674811068,0.885621800081132,108.47251425245,4.7365893067745,6.61960166552386e-06,13.3571313846774,6.27383187567565,9.7415324530982,4.89490902911131,52,72,True,운동학,9.66911151544646e-05,***
Hip_stance_mov_Z_deg_s_peak,15.4661460171158,4.25476498067953,111.643416172863,3.63501770070639,0.0004218495138867,43.0974179197718,30.0850610500411,30.261069194868,20.7208725361164,52,72,True,운동학,0.0021092475694334998,**
Knee_stance_ref_X_deg_s_peak,4.32840582063782,4.43485520406145,100.534044994045,0.975997100575878,0.331408558367469,86.1398524308,61.6122058532107,102.931092588453,49.6623900743129,52,72,True,운동학,0.39346387436244235,
Knee_stance_ref_Y_deg_s_peak,2.86488703612921,1.28677247773676,106.959188070747,2.22641304946785,0.028082901871384,12.9636979051132,11.190565686744,10.9097868880597,6.05888238784342,52,72,True,운동학,0.056165803742768,
Knee_stance_ref_Z_deg_s_peak,8.18558071930925,1.69981668551293,116.06334984941,4.81556675438753,4.46940758508762e-06,18.8406762283753,12.4034729449907,11.3949554695669,6.97914339777486,52,72,True,운동학,9.66911151544646e-05,***
Knee_stance_mov_X_deg_s_peak,4.28046068513449,4.41348540226299,100.525933808768,0.969859486323372,0.334444293208076,85.9549943250466,61.449261171809,102.798240323238,49.6030525758421,52,72,True,운동학,0.39346387436244235,
Knee_stance_mov_Y_deg_s_peak,6.32354526637465,1.35916594543347,104.257199451813,4.65251891251433,9.66911151544646e-06,16.3955289084004,12.8323791589305,11.8489729234203,7.85455298759846,52,72,True,운동학,9.66911151544646e-05,***
Knee_stance_mov_Z_deg_s_peak,7.53409336118659,1.60691201303427,113.210424881907,4.68855376030219,7.73401929092856e-06,17.4807026930472,12.1579219223481,10.5282794045695,6.73930489470504,52,72,True,운동학,9.66911151544646e-05,***
Ankle_stance_ref_X_deg_s_peak,2.33987489363182,2.75601067758923,102.65202915045,0.849007920273584,0.39785247845972,57.7179643757753,25.5095948585199,60.1265469347533,22.6922861917093,52,72,True,운동학,0.45468854681110854,
Ankle_stance_ref_Y_deg_s_peak,1.44833785125914,2.1738436296765,104.165567747155,0.666256685387565,0.506719954210322,18.8708889250663,14.4011471115895,15.6862720569912,13.5493096114786,52,72,True,운동학,0.5478053559030508,
Ankle_stance_ref_Z_deg_s_peak,9.628395144424,3.16352334687492,111.412357912681,3.04356696274595,0.0029169145036697,32.4804002788018,20.8511252559728,22.9435985872938,16.8805128883541,52,72,True,운동학,0.008975121549752923,**
Ankle_stance_mov_X_deg_s_peak,1.44938188402626,2.99494371129329,103.296171343136,0.48394294642699,0.629450768477962,56.2732897222253,25.0262208462146,58.8578964663174,22.8323994052818,52,72,True,운동학,0.6625797562925916,
Ankle_stance_mov_Y_deg_s_peak,1.86360754052506,2.41727400664521,104.040584214993,0.770954196918473,0.442481400994286,19.3155099773486,15.7005304846471,15.9025094559768,14.350833124223,52,72,True,운동학,0.4916460011047622,
Ankle_stance_mov_Z_deg_s_peak,9.89180131940742,3.08821040129493,110.210703203812,3.20308529343067,0.0017778413456075,30.938574524484,21.4158907237503,22.2900949766691,16.2587145747428,52,72,True,운동학,0.00711136538243,**
Trunk_ref_X_deg_s_peak,5.81917548156187,3.58873365841957,111.172501696567,1.62151222003044,0.107740649168203,35.246925182714,26.1576650674573,29.7326702037785,18.0333077921386,52,72,True,운동학,0.17108969521148,
Trunk_ref_Y_deg_s_peak,6.43516604901423,2.4567956205106,117.000953877415,2.61933308383088,0.0099770898068577,20.9600027993094,17.7692890975011,14.9572426684857,10.0842813281339,52,72,True,운동학,0.02494272451714425,*
Trunk_ref_Z_deg_s_peak,5.25634373603051,1.92672059035205,111.169951675615,2.72812973627383,0.0074050640269997,21.6306323449124,13.1576062036606,18.0429970733907,10.4796616517973,52,72,True,운동학,0.01974683740533253,*
Trunk_mov_X_deg_s_peak,5.72332521207329,3.56466331799388,111.035499128156,1.60557244864692,0.111208301887462,35.0769739870866,26.0628867227086,29.6031253615904,18.0174411266842,52,72,True,운동학,0.17108969521148,
Trunk_mov_Y_deg_s_peak,4.9829629773531,2.28407014289258,116.435446935042,2.18161556590491,0.0311473493222455,20.1747624088416,16.2189721655939,15.5281065667616,9.85254918732895,52,72,True,운동학,0.05708058848597636,
Trunk_mov_Z_deg_s_peak,5.8957400894251,1.9334180522293,111.327984992587,3.04938711140465,0.002865764008728,22.2519468840798,13.7366655251262,18.0644607818573,10.0296970466052,52,72,True,운동학,0.008975121549752923,**
Neck_ref_X_deg_s_peak,12.7254994489425,4.12266554961155,101.479430246706,3.0867164206763,0.0026093667120134,57.8166108652911,43.4749004461035,61.1336387565113,49.4144118011719,52,72,True,운동학,0.008975121549752923,**
Neck_ref_Y_deg_s_peak,6.10031075794167,2.6068479378409,120.508045397113,2.34010993483349,0.0209223826150475,23.4756581487697,18.7965515833689,17.5313507007101,10.0538948778232,52,72,True,운동학,0.044047121294836844,*
Neck_ref_Z_deg_s_peak,2.08670044459672,1.68715960083875,111.764714916377,1.23681271384127,0.218749206056604,16.902241897632,11.2050493373645,15.4412115728508,9.22351338306875,52,72,True,운동학,0.2822570400730374,
Neck_mov_X_deg_s_peak,12.4003444004973,4.10814020789075,101.467006937815,3.01848130126601,0.0032127520179519,57.5277828777111,43.3538716187235,60.8088197754274,49.4095287378517,52,72,True,운동학,0.009179291479862572,**
Neck_mov_Y_deg_s_peak,4.80446072616621,2.20637932372404,120.20321328635,2.17753161231451,0.031394323667287,21.8572500898412,14.72750537567,17.2461841271554,9.93418603743734,52,72,True,운동학,0.05708058848597636,
