subject,velocity,trial,column,count,nan_count,min,max,range,std,max_abs_diff,flag_jump_gt_180,flag_range_gt_200,flag_range_gt_300
강비은,30,10,Hip_R_Y_deg,238,0,-0.9809504747390747,6.552700161933899,7.533650636672974,1.385647373829651,0.6972811222076416,false,false,false
강비은,30,7,Ankle_L_X_deg,240,0,-1.4808690020412143,7.848573576912825,9.329442578954039,2.278056427309195,0.6775475085892717,false,false,false
강비은,30,5,Ankle_L_X_deg,238,0,-0.7796834893949978,6.253535294852204,7.033218784247202,2.0968658196702514,0.6648766539052513,false,false,false
강비은,30,3,Hip_R_Z_deg,238,0,-5.912761575791223,0.5547983370335636,6.467559912824787,2.007748364909412,0.6599328776066322,false,false,false
강비은,30,2,Hip_R_X_deg,238,0,-0.74261829392516,8.733589575645116,9.476207869570276,2.4018417554270237,0.6523940563102322,false,false,false
강비은,30,2,Ankle_L_X_deg,238,0,-1.4462096339848078,6.258386009823383,7.70459564380819,1.8417973800826872,0.651018840409531,false,false,false
강비은,30,4,Knee_R_Z_deg,238,0,-9.288529639103958,0.7694741708548269,10.058003809958784,3.536335799335659,0.6425935886249086,false,false,false
강비은,30,11,Hip_L_Z_deg,234,0,-8.15269543367046,5.355869999220461,13.50856543289092,3.34517504579728,0.6293003329527709,false,false,false
강비은,30,9,Knee_R_Z_deg,237,0,-14.091033720025855,0.3971123209864178,14.488146041012273,5.202909096949731,0.618275553858723,false,false,false
강비은,30,10,Knee_L_Z_deg,238,0,-0.15087119480276456,4.317631513063629,4.468502707866394,1.2543626007084827,0.6086962135477822,false,false,false
강비은,30,1,Hip_L_X_deg,236,0,-0.32821620282850184,6.875486130814629,7.203702333643131,2.800921580289581,0.6028564018074185,false,false,false
강비은,30,11,Hip_R_Z_deg,234,0,-2.755141216832234,9.530468599884149,12.285609816716383,3.4471622288531463,0.5961568400052837,false,false,false
강비은,30,4,Ankle_L_X_deg,238,0,-2.2017845833220706,10.994272907892617,13.196057491214688,4.3390083192586255,0.5960718895274821,false,false,false
강비은,30,7,Hip_R_X_deg,240,0,-0.2813414683283497,6.027785376508824,6.309126844837174,1.3801241955262633,0.5946550521615279,false,false,false
강비은,30,8,Hip_R_X_deg,238,0,-0.23778108312294677,6.20056098797982,6.438342071102767,1.3709482634589072,0.594129127595437,false,false,false
강비은,30,10,Ankle_R_Y_deg,238,0,-1.5092573165893555,4.326696395874023,5.835953712463379,1.0718155547729844,0.5886626243591309,false,false,false
강비은,30,1,Ankle_R_X_deg,236,0,-1.6610842903439416,7.0055047580813445,8.666589048425287,2.253199209724162,0.5867614879151084,false,false,false
강비은,30,10,Knee_R_X_deg,238,0,-13.311110426957965,0.1179939191503504,13.429104346108316,4.264569577800135,0.5796111336277514,false,false,false
강비은,30,5,Hip_L_X_deg,238,0,-0.17770017786257597,7.019395655305859,7.197095833168435,1.6948808580267352,0.5755066168233967,false,false,false
강비은,30,4,Hip_L_X_deg,238,0,-1.4900049136646345,6.823283848761868,8.313288762426502,2.410646470325106,0.5655089274257925,false,false,false
강비은,30,5,Hip_R_X_deg,238,0,-0.3891560043770017,6.404333705451625,6.793489709828627,1.6908812003538642,0.5459079920551488,false,false,false
강비은,30,6,Knee_L_X_deg,238,0,-11.123054844032737,0.2988950544952811,11.421949898528018,4.251025659891818,0.5360198524885247,false,false,false
강비은,30,3,Ankle_L_X_deg,238,0,-1.1550209005031515,8.40726960408494,9.562290504588091,2.933423133889748,0.5331547482142636,false,false,false
강비은,30,4,Ankle_R_X_deg,238,0,-1.3504788765166726,8.485550615605867,9.83602949212254,2.6822026073894727,0.5201931836036948,false,false,false
