MocapFrame,stage0_L,stage1_L,stage2_L,final_L,stage0_R,stage1_R,stage2_R,final_R,dot_shankX_footX_L,dot_shankX_footX_R,Rrel_L_10,Rrel_L_00,Rrel_R_10,Rrel_R_00,az_from_Rrel_L_deg,az_from_Rrel_R_deg
11,1.075804682676631e-7,-1.075804682676631e-7,-1.8832332707760599e-7,-1.8832332707760599e-7,4.5531314509134567e-7,4.5531314509134567e-7,-2.678905892661863e-7,-2.678905892661863e-7,0.9920175,0.99616545,1.8626451e-9,0.9920175,7.916242e-9,0.99616545,1.0758046e-7,4.553131e-7
12,-2.420554015885323e-7,2.420554015885323e-7,1.6131254277858942e-7,1.6131254277858942e-7,-9.106304630704334e-7,-9.106304630704334e-7,-1.6338341974279653e-6,-1.6338341974279653e-6,0.99202013,0.996161,-4.1909516e-9,0.99202013,-1.5832484e-8,0.996161,-2.420554e-7,-9.1063043e-7
13,-2.958430849175093e-7,2.958430849175093e-7,2.1510022610756645e-7,2.1510022610756645e-7,2.6783372094848174e-7,2.6783372094848174e-7,-4.5537001340905024e-7,-4.5537001340905024e-7,0.99202824,0.9961564,-5.122274e-9,0.99202824,4.656613e-9,0.9961564,-2.9584308e-7,2.678337e-7
14,1.344728723214356e-7,-1.344728723214356e-7,-2.1521573113137848e-7,-2.1521573113137848e-7,-1.0713396673481678e-6,-1.0713396673481678e-6,-1.7945434017056997e-6,-1.7945434017056997e-6,0.9920375,0.9961519,2.3283064e-9,0.9920375,-1.8626451e-8,0.9961519,1.3447287e-7,-0.0000010713396
15,-1.6136409320886658e-7,1.6136409320886658e-7,8.062123439892371e-8,8.062123439892371e-8,-1.4463139349629915e-6,-1.4463139349629915e-6,-2.1695176693205234e-6,-2.1695176693205234e-6,0.9920581,0.9961482,-2.7939677e-9,0.9920581,-2.514571e-8,0.9961482,-1.6136408e-7,-0.0000014463138
16,1.344659259900113e-7,-1.344659259900113e-7,-2.1520878479995416e-7,-2.1520878479995416e-7,-2.6783632264221117e-8,-2.6783632264221117e-8,-7.499873666217531e-7,-7.499873666217531e-7,0.9920888,0.9961467,2.3283064e-9,0.9920888,-4.656613e-10,0.9961467,1.3446592e-7,-2.6783631e-8
17,-4.033890886946441e-7,4.033890886946441e-7,3.226462298847012e-7,3.226462298847012e-7,-1.3391801310725743e-6,-1.3391801310725743e-6,-2.062383865430106e-6,-2.062383865430106e-6,0.99211013,0.9961478,-6.9849193e-9,0.99211013,-2.3283064e-8,0.9961478,-4.0338907e-7,-0.00000133918
18,3.2270775453445943e-7,-3.2270775453445943e-7,-4.034506133444023e-7,-4.034506133444023e-7,-3.7496917872733323e-7,-3.7496917872733323e-7,-1.0981729130848653e-6,-1.0981729130848653e-6,0.9921209,0.99615115,5.5879354e-9,0.9921209,-6.519258e-9,0.99615115,3.2270773e-7,-3.7496915e-7
19,0.0,-0.0,-8.074285880994287e-8,-8.074285880994287e-8,-3.481843028662316e-7,-3.481843028662316e-7,-1.0713880372237636e-6,-1.0713880372237636e-6,0.9921276,0.996155,0.0,0.9921276,-6.0535967e-9,0.996155,0.0,-3.4818427e-7
20,1.0756927271518436e-7,-1.0756927271518436e-7,-1.8831213152512723e-7,-1.8831213152512723e-7,-3.481837939774826e-7,-3.481837939774826e-7,-1.0713875283350145e-6,-1.0713875283350145e-6,0.9921207,0.9961565,1.8626451e-9,0.9921207,-6.0535967e-9,0.9961565,1.07569264e-7,-3.4818376e-7
